week_ending,08/08/2020,08/15/2020,08/22/2020,08/29/2020,09/05/2020,09/12/2020,09/19/2020,09/26/2020,10/03/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/07/2020,11/14/2020,11/21/2020,11/28/2020,12/05/2020,12/12/2020,12/19/2020,12/26/2020,01/02/2021,01/09/2021,01/16/2021,01/23/2021,01/30/2021,02/06/2021,02/13/2021,02/20/2021,02/27/2021,03/06/2021,03/13/2021,03/20/2021,03/27/2021,04/03/2021,04/10/2021,04/17/2021,04/24/2021,05/01/2021,05/08/2021,05/15/2021,05/22/2021,05/29/2021,06/05/2021,06/12/2021,06/19/2021,06/26/2021,07/03/2021,07/10/2021,07/17/2021,07/24/2021,07/31/2021,08/07/2021,08/14/2021,08/21/2021,08/28/2021,09/04/2021,09/11/2021,09/18/2021,09/25/2021,10/02/2021,10/09/2021,10/16/2021,10/23/2021,10/30/2021,11/06/2021,11/13/2021,11/20/2021,11/27/2021,12/04/2021,12/11/2021,12/18/2021,12/25/2021,01/01/2022,01/08/2022,01/15/2022,01/22/2022,01/29/2022,02/05/2022,02/12/2022,02/19/2022,02/26/2022,03/05/2022,03/12/2022,03/19/2022
CITY,20.68,21.91,20.84,21.5,21.71,25.5,31.65,40.84,48.8,48.58,49.06,60.05,66.45,104.14,151.12,170.74,197.35,284.89,299.15,305.84,325.98,399.86,523.32,480,457.02,437.39,350.89,338.62,299.62,327.12,315.58,318.36,312.22,344.64,296.32,265.95,211.27,148.93,109.15,76.55,54.19,38.4,25.84,20.09,17.84,16.66,16.86,20.49,32.17,52.02,83.37,121.27,150.09,157.07,162.15,152.77,141.03,137.63,151.62,138.15,116.86,111.48,94.57,75.47,67.21,78.78,97.09,119.96,121.61,192.53,264.56,958.32,2035.42,3280.38,3143.77,1420.49,665.85,313.09,169.79,101.21,66.14,48.89,46.96,50.02,64.56
BX,28.77,30.6,26.65,28.7,21.15,24.68,26.3,32.72,32.36,38.15,44.21,53.8,65.58,100.62,145.89,183.82,206.88,290.72,299.04,300.24,313.78,432.24,570.79,539.98,536.38,520.38,434.28,432.8,361.3,384.22,344.8,324.71,304.96,339.94,296.01,254.34,201.8,147.65,110.28,81.3,56.97,41.25,27.43,28.56,25.67,17.77,13.68,17.42,26.51,42.45,67.2,102.81,131.79,145.68,163.23,149.48,137.15,130.94,121.84,126.22,103.65,85.32,69.17,58.67,51.05,54.15,68.96,88.28,82.5,153.43,194.68,593.57,1964.17,3878.14,3606.67,1415.94,548.02,234.31,140.74,68.11,38.36,28.06,24.54,21.44,30.88
BK,19.92,21.72,18.32,22.81,24.26,28.4,40.08,58.48,69.92,65.55,58.05,65.2,64.46,100.12,126.29,149.62,171.41,259.03,279.07,297.47,324.07,366.54,485.84,469.94,435.88,427.2,340.83,324.58,288.02,327.28,313.41,317.86,307.36,339.35,290.87,272.08,224.31,162.23,122.15,83.05,55.94,42.35,25.27,17.93,15.04,15.51,15.55,18.4,31.76,54.14,89.57,127.86,157.04,159.81,167.12,160.75,143.4,140.59,176.02,156.57,134.42,144.69,119.46,95.51,84.42,94.65,110.28,125.12,127.27,183.84,258.25,985.94,2049.88,3069.96,2967.22,1425.25,713.35,340.4,183.87,107.15,69.73,47.58,44.96,57.89,68.13
MN,17.99,16.88,19.28,17.74,16.76,22.23,28.73,31.25,34.51,31.68,40.34,48.5,58.64,91.73,143.61,152.64,173.39,222.69,229.08,232.88,220.67,256.34,376.99,332.47,336.89,338.61,273.71,259.53,235.65,254.86,244.73,244.24,241.11,266.9,232.27,194.02,145.88,91.91,69.26,47.83,34.51,25.36,18.24,14.06,15.84,13.63,14.67,21.12,34.75,62.26,97.99,124.95,148.22,144.9,152.02,149.87,138.02,138.58,149.01,124.15,104.81,94.92,82.21,65.63,62.07,81.23,103.03,127.52,113.89,176.95,306.32,1598.69,2263.76,2613.24,2685.44,1147.29,611.16,323.63,180.63,122.61,88.41,75.27,81.72,88.48,120.46
QN,19.12,19.88,21.43,18.55,20.41,23.78,27.82,32.12,44.72,46.14,45.52,60.87,61.27,97.61,153.91,163.41,195.53,288.66,328.68,330.1,361.03,451.76,574.7,519.29,490.67,463.69,360.76,342.12,312.71,336.05,329.3,350.16,352.55,380.81,322.56,289.37,228.32,156.35,111.5,78.13,58.39,37.67,26.71,19.08,15.17,15.84,16.77,18.41,29.19,42.64,68.15,108.3,138.47,150.45,147.39,129.29,117,120.68,129.16,124.72,104.71,94.19,78.67,58.83,52.49,71.34,88.38,117.35,129.02,208.98,256.23,713.27,1879.27,3470.63,3300.39,1563.05,697.07,311.16,155.07,93,59.28,42.15,37.14,32.57,43.84
SI,17.22,23.94,19.53,19.74,32.76,31.71,30.45,44.31,52.3,57.76,61.75,86.53,131.05,209.6,312.72,341.91,399.04,601.5,507.41,502.16,566.85,727.93,840.71,674.17,585.96,458.27,373.84,387.49,335.19,361.03,417.52,405.13,412.27,481.79,421.51,402.82,312.3,241.1,161.3,118.24,84.01,56.71,45.99,31.92,28.98,33.81,41.37,48.51,56.5,78.55,120.13,189.65,228.71,249.29,236.69,240.68,263.79,218.63,224.3,186.08,160.46,149.32,153.95,130.21,110.05,93.67,130.84,173.06,198.89,331.2,403.24,865.71,2127.93,4012.66,3540.53,1668.2,800.81,374.05,213.17,133.57,85.9,59.65,52.09,43.89,52.51
10001,7.24,14.49,14.49,7.24,32.59,43.46,25.35,10.86,36.21,39.84,32.59,50.7,36.21,105.02,202.8,170.21,137.62,260.75,191.94,271.61,188.32,210.05,463.55,282.47,329.55,293.34,286.1,260.75,170.21,231.77,228.15,242.64,369.39,296.96,296.96,210.05,152.1,97.78,97.78,76.05,54.32,61.57,21.73,28.97,18.11,32.59,21.73,28.97,94.16,108.64,188.32,166.59,217.29,224.53,166.59,231.77,181.07,188.32,188.32,115.89,152.1,112.27,90.54,68.81,72.43,162.97,123.13,170.21,159.34,231.77,463.55,2415.52,2694.37,2795.78,3328.13,1358.05,713.43,391.12,260.75,202.8,105.02,94.16,152.1,97.78,177.45
10002,39.83,10.62,21.24,10.62,7.97,6.64,22.57,25.22,19.91,35.85,30.54,50.45,55.76,79.66,136.74,138.07,161.97,234.99,381.03,371.73,347.84,351.82,512.46,407.58,469.98,390.32,310.66,319.96,330.58,337.22,342.53,359.79,337.22,355.8,306.68,257.56,223.04,118.16,114.18,66.38,30.54,18.59,15.93,17.26,13.28,5.31,6.64,19.91,42.48,57.09,107.54,148.69,180.56,142.06,124.8,159.31,126.12,123.47,146.04,83.64,77,111.52,110.19,91.61,58.42,69.04,92.93,88.95,110.19,160.64,273.49,1399.31,1903.81,2483.98,2774.73,1467.02,720.9,338.54,168.61,116.83,95.59,63.73,59.74,86.3,98.24
10003,7.41,7.41,18.53,20.38,20.38,53.73,62.99,59.28,57.43,29.64,70.4,53.73,64.84,59.28,146.36,179.7,140.8,187.11,183.41,201.93,166.74,179.7,281.6,300.12,287.16,398.31,231.58,222.31,231.58,253.81,261.22,214.9,274.19,357.55,261.22,203.79,172.29,98.19,57.43,77.81,27.79,22.23,9.26,12.97,1.85,5.56,9.26,24.08,35.2,61.14,111.16,170.44,159.32,181.56,192.67,170.44,187.11,224.17,226.02,155.62,188.97,114.86,81.51,70.4,59.28,103.75,140.8,226.02,159.32,240.84,452.04,3093.86,2801.15,2121.24,2178.67,820.71,479.83,327.91,229.72,153.77,100.04,100.04,114.86,109.3,142.65
10004,0,0,33.65,0,67.29,0,67.29,134.58,33.65,100.94,100.94,33.65,201.88,134.58,168.23,471.04,403.75,336.46,437.4,538.34,201.88,370.11,1177.61,874.8,201.88,639.28,235.52,336.46,302.81,269.17,168.23,403.75,403.75,403.75,403.75,168.23,235.52,0,134.58,33.65,0,0,0,33.65,33.65,67.29,0,134.58,67.29,100.94,336.46,302.81,302.81,134.58,100.94,168.23,100.94,168.23,269.17,134.58,168.23,33.65,201.88,0,100.94,100.94,370.11,235.52,269.17,370.11,504.69,2489.81,3633.77,2422.52,2725.33,1312.2,874.8,504.69,403.75,33.65,168.23,67.29,67.29,201.88,235.52
